product_id,price,brand,material_quality_score,is_sustainable,carbon_emission_score,packaging_score,certifications_score,avg_rating,rating_count,review_sentiment_score,grade
P0000,7370,EcoWare,0.529227307054277,1,0.7950709136488086,0.7627984749000876,0.8456673490987714,3.2,790,0.6113507580854083,A+
P0006,566,ReEarth,0.7228954572886145,1,0.9426404254718972,0.7909682998917831,0.4662532815278354,4.2,2657,0.537960390457259,A+
P0008,5678,GreenEarth,0.5079105458827913,1,0.9456863601641574,0.9978364530125488,0.4023070413823719,3.7,1048,-0.0543487502073951,A+
P0010,1785,ReEarth,0.9093535285596164,1,0.7531533193276929,0.7158993039295203,0.3828831472841835,4.3,3013,-0.7838450126672234,A+
P0011,869,ReEarth,0.8016097051066862,1,0.6555241187638531,0.5879621999888125,0.7190756205108118,4.9,4690,-0.1275111032713654,A+
P0012,7049,EcoWare,0.6686135663777102,1,0.7654674068481806,0.3884704956839669,0.5475178840599945,4.8,1085,0.9439016905196111,A+
P0018,4655,AmazonBasics,0.7005939570194913,0,0.9010513229187272,0.8442188270276698,0.860798936915495,4.6,3185,0.2570880617577222,A+
P0020,6496,AmazonBasics,0.671780237387852,1,0.8264703869120692,0.8069781692493931,0.6537867511244616,3.0,1086,-0.810092705163338,A+
P0022,9374,NatureNext,0.7212049682403348,1,0.8355270802301391,0.7433882181694889,0.6172195829944581,3.2,1875,-0.3517296523344073,A+
P0028,289,NatureNext,0.7964059958267113,1,0.703607972844093,0.3172789100572092,0.564639857896202,4.3,114,0.9964449012181013,A+
P0031,4758,GreenEarth,0.7284293224401843,1,0.6885946831058211,0.8878742465424418,0.5172094276935294,2.8,4400,0.1265116876513667,A+
P0032,1999,EcoWare,0.5951624314095338,1,0.8365326098332035,0.3892399760981723,0.8481814982799472,4.8,1191,0.2956446096488714,A+
P0034,1367,GreenEarth,0.6892382117429345,1,0.9203691639927848,0.9041063322470588,0.2900440281779866,3.6,3148,-0.7097888532070995,A+
P0039,5493,GreenEarth,0.7902375033583373,1,0.9200514566620712,0.8493387772774916,0.419136174442055,2.8,1784,0.3270041388105142,A+
P0047,5586,AmazonBasics,0.9109032219505434,1,0.896467877362529,0.8294339887080207,0.5153051879943767,4.2,4063,0.7598591272767472,A+
P0049,9770,GreenEarth,0.6504265541766275,1,0.5441508929389675,0.9470009495562628,0.7517707876829781,4.7,1255,-0.5118719780654974,A+
P0051,8326,NatureNext,0.7374432717531093,1,0.8080925530214146,0.3894422569529933,0.7434351739561944,3.3,287,0.1729190247495953,A+
P0054,4043,AmazonBasics,0.9870823143140076,1,0.3280214530536953,0.7792383359854764,0.6949183797815075,4.2,2932,0.7957962095485043,A+
P0060,9792,NatureNext,0.546464572189695,1,0.8197468875683751,0.946977992222181,0.7461796385522723,4.4,374,-0.5319894256792603,A+
P0062,5775,AmazonBasics,0.8939509941461325,1,0.8786740126580299,0.6492797818396361,0.1605936950433085,4.4,914,-0.481569332456027,A+
P0064,4397,ReEarth,0.8042432063298957,1,0.8738414518521483,0.9259855827794898,0.1919554389957257,2.6,2188,-0.9282144976221351,A+
P0074,8629,AmazonBasics,0.754862123375849,1,0.8055886228204199,0.8706934317633919,0.1548575740788212,4.4,4615,-0.38054155649734,A+
